city,temp,humidity,wind,pressure,timestamp
London,17.06,64,6.17,1005,1749302255
Paris,19.31,59,8.23,1012,1749302632
Dehli,37.05,32,2.57,1002,1749302616
Tokyo,21.81,76,3.09,1009,1749302377
Karachi,31.9,55,8.23,1006,1749302080
Dubai,34.96,59,6.69,1004,1749302581
Cairo,35.42,24,5.14,1010,1749302672
Sydney,11.57,59,5.14,1007,1749302497
Mumbai,26.99,78,2.06,1008,1749302610
Istanbul,25.09,50,8.23,1016,1749302792
Berlin,20.24,71,5.14,1007,1749302640
Seoul,20.76,100,1.54,1009,1749302262
Toronto,19.72,55,6.26,1012,1749302725
Bangkok,30.78,77,5.42,1006,1749302492
Rome,24.13,94,2.06,1014,1749302660
Karachi,31.9,55,8.23,1006,1749302732
London,16.97,65,6.17,1005,1749302934
Tokyo,21.81,76,3.09,1009,1749302881
Seoul,20.76,100,1.54,1009,1749302873
Bangkok,30.78,72,5.23,1006,1749303118
Sydney,11.53,60,5.14,1007,1749303125
Dubai,34.96,59,6.69,1004,1749303204
Paris,19.34,59,8.23,1011,1749303032
Dehli,37.05,32,2.57,1001,1749303185
Tokyo,21.81,76,3.09,1009,1749303182
Karachi,31.9,55,8.23,1006,1749303335
Cairo,35.42,24,5.14,1009,1749303466
Mumbai,26.99,78,1.54,1009,1749303450
Berlin,19.44,74,6.71,1007,1749302941
Seoul,20.76,100,1.54,1009,1749302838
Toronto,20.18,54,6.26,1012,1749303394
Bangkok,30.78,77,5.42,1006,1749302811
Rome,24.28,94,2.06,1014,1749303490
London,17.01,65,6.17,1005,1749303254
Istanbul,24.53,57,8.23,1016,1749303523
Seoul,20.76,100,1.54,1009,1749303454
Bangkok,29.94,72,5.23,1006,1749303451
London,17.01,65,6.17,1005,1749303188
Paris,20.03,57,7.72,1011,1749303752
Dehli,36.05,36,3.09,1001,1749303756
Tokyo,21.81,76,3.09,1009,1749303602
Karachi,31.9,55,7.72,1006,1749303708
Dubai,33.96,62,6.69,1004,1749303515
Cairo,35.42,24,5.14,1009,1749303761
Sydney,11.53,60,5.14,1007,1749303034
Mumbai,26.99,78,1.54,1009,1749303763
Istanbul,24.53,57,8.23,1016,1749303626
Berlin,17.07,82,5.36,1008,1749303550
Seoul,20.76,100,1.54,1009,1749303139
Toronto,20.26,53,6.26,1012,1749303645
Rome,24.35,94,2.06,1014,1749303609
Sydney,11.41,61,4.12,1007,1749303639
Seoul,20.76,100,1.54,1009,1749303813
London,17.03,67,6.17,1005,1749305989
Paris,19.96,55,7.72,1012,1749306025
Dehli,36.05,36,2.57,1002,1749306086
Tokyo,21.7,78,3.6,1009,1749305606
Karachi,30.9,62,7.72,1006,1749305820
Dubai,33.96,59,6.17,1004,1749305793
Cairo,35.42,24,7.2,1009,1749306120
Sydney,10.91,63,4.12,1007,1749305586
Mumbai,26.99,74,1.54,1009,1749305551
Istanbul,23.42,60,9.26,1016,1749306083
Berlin,16.92,87,2.68,1007,1749305805
Seoul,21.6,85,1.94,1009,1749305591
Toronto,22.64,48,3.09,1012,1749306122
Bangkok,29.94,80,5.23,1006,1749305855
Rome,25.69,90,2.57,1014,1749306029
London,17.02,67,6.17,1005,1749306027
Paris,20.09,56,7.72,1012,1749306000
Dehli,36.05,36,2.57,1002,1749305892
Karachi,30.9,62,7.72,1006,1749305908
Mumbai,26.99,74,1.54,1009,1749306144
Sydney,10.8,63,5.66,1007,1749306200
Seoul,20.76,100,2.57,1009,1749306209
Berlin,17.44,87,2.68,1008,1749306410
Tokyo,21.7,78,3.09,1009,1749306310
Karachi,30.9,62,7.72,1006,1749306569
Bangkok,29.94,80,5.23,1006,1749306455
Dubai,33.96,59,6.17,1005,1749306696
Cairo,35.42,24,6.17,1009,1749306509
Istanbul,23.42,60,9.26,1016,1749306725
Toronto,22.55,47,3.09,1012,1749306543
Rome,25.82,89,2.57,1014,1749306512
London,16.93,68,6.17,1005,1749306641
Paris,20.21,55,7.72,1011,1749306728
Dehli,36.05,36,2.57,1001,1749306788
Mumbai,26.99,74,1.54,1010,1749306635
London,16.54,69,5.14,1005,1749306980
Paris,19.96,55,7.72,1012,1749306390
Dehli,36.05,36,2.57,1001,1749307180
Tokyo,21.7,78,3.09,1009,1749306511
Karachi,30.9,62,7.72,1007,1749306870
Cairo,35.42,24,6.17,1009,1749306521
Sydney,11.0,63,5.66,1007,1749306806
Mumbai,26.99,74,1.54,1010,1749307081
Istanbul,23.42,60,9.26,1016,1749306627
Berlin,17.46,86,2.68,1008,1749306747
Seoul,20.76,100,2.57,1009,1749306602
Toronto,22.55,47,3.09,1012,1749306545
Bangkok,29.94,80,5.23,1006,1749306514
Rome,25.82,89,2.57,1014,1749306539
Tokyo,21.7,78,3.09,1009,1749307113
Istanbul,23.42,60,8.75,1016,1749307052
Seoul,20.76,100,2.57,1009,1749307144
Toronto,22.8,48,3.09,1012,1749307249
Bangkok,29.94,75,4.92,1007,1749307075
